제품범주2,플랜트,제조일자,중분류(보정),count
B2B패티류,진천BC,2021-06-22,동물성이물,1
백미,진천BC,2021-06-22,인체이물류,1
고메피자(프리미엄),진천BC,2021-06-22,인체이물류,1
비비고성형밥(OEM),한우물 영농조합,2021-06-22,포장오류,1
일반 국물,교동,2021-06-23,관능,1
일반 국물,교동,2021-06-23,합성수지류,1
굴소스,논산1공장,2021-06-23,기타이물류,1
프리미엄덮밥,부산공장,2021-06-23,인체이물류,1
프리미엄덮밥,부산공장,2021-06-23,동물성이물,1
과일젤리,쌍인,2021-06-23,공정이물류,1
국판조미김,씨푸드_이천,2021-06-23,기타이물류,1
국판조미김,씨푸드_이천,2021-06-23,중량수량미달,1
수입콩두부,진천)두부,2021-06-23,기타,1
미트편의식,진천)육가공,2021-06-23,동물성이물,1
스팸일반,진천)육가공,2021-06-23,포장불량,1
스팸일반,진천)육가공,2021-06-23,인체이물류,1
스팸일반,진천)육가공,2021-06-23,공정이물류,1
스팸일반,진천)육가공,2021-06-23,포장불량,1
스팸일반,진천)육가공,2021-06-23,포장불량,1
스팸일반,진천)육가공,2021-06-23,포장불량,1
스팸일반,진천)육가공,2021-06-23,포장불량,1
스팸일반,진천)육가공,2021-06-23,포장불량,1
스팸일반,진천)육가공,2021-06-23,포장불량,1
양식반찬,진천BC,2021-06-23,기타이물류,1
비비고일반,진천BC,2021-06-23,합성수지류,1
B2B고메(반찬류),진천BC,2021-06-23,공정이물류,1
맛간식,하북율원식품,2021-06-23,관능,1
B2B까스류,C&S (제당),2021-06-24,인체이물류,1
하선정절임류,두메,2021-06-24,관능,1
냉면,미정식품,2021-06-24,기타이물류,1
냉면,미정식품,2021-06-24,기타,1
국판조미김,삼해상사(부안1),2021-06-24,기타이물류,1
국판삼해김,삼해상사(부안1),2021-06-24,기타이물류,1
미니소시지,신라에스지,2021-06-24,합성수지류,1
미니소시지,신라에스지,2021-06-24,공정이물류,1
삼호어묵,씨푸드_성남,2021-06-24,합성수지류,1
국판조미김,씨푸드_이천,2021-06-24,포장불량,1
천일염,영진그린식품,2021-06-24,식물성이물,1
올리고당 소물,인천1)당,2021-06-24,포장불량,1
B2B 신선대용식,진천B2B생산,2021-06-24,포장불량,1
더건강한 닭가슴살,진천)육가공,2021-06-24,동물성이물,1
스팸일반,진천)육가공,2021-06-24,기타이물류,1
스팸일반,진천)육가공,2021-06-24,식물성이물,1
스팸일반,진천)육가공,2021-06-24,인체이물류,1
백미,진천BC,2021-06-24,기타,1
비비고일반,진천BC,2021-06-24,인체이물류,1
양식반찬,진천BC,2021-06-24,공정이물류,1
양식반찬,진천BC,2021-06-24,합성수지류,1
양식반찬,진천BC,2021-06-24,인체이물류,1
비비고 한식반찬,진천BC,2021-06-24,동물성이물,1
물만두,푸드웨어,2021-06-24,동물성이물,1
비비고성형밥(OEM),한우물 영농조합,2021-06-24,합성수지류,1
된장업소용,공주공장,2021-06-25,관능,1
된장업소용,공주공장,2021-06-25,변화,1
된장가정용,공주공장,2021-06-25,기타이물류,1
일반 국물,교동,2021-06-25,인체이물류,1
견과류 드레싱,동방푸드마스타(냉장수프),2021-06-25,합성수지류,1
백미,부산공장,2021-06-25,식물성이물,1
국판조미김,삼해상사(부안1),2021-06-25,합성수지류,1
과일젤리,쌍인,2021-06-25,벌레류,1
냉장 생선구이,씨푸드_성남,2021-06-25,동물성이물,1
튀김부침용,영등포공장,2021-06-25,벌레류,1
튀김부침용,영등포공장,2021-06-25,성분,1
진한참기름,인천2)유,2021-06-25,관능,1
비엔나,진천BC,2021-06-25,공정이물류,1
비엔나,진천BC,2021-06-25,기타이물류,1
일반 국물 사골,진천BC,2021-06-25,포장불량,1
B2B 죽(용기),진천BC,2021-06-25,인체이물류,1
맛간식,하북율원식품,2021-06-25,기타변질,1
맛간식,하북율원식품,2021-06-25,합성수지류,1
Big컵반,부산공장,2021-06-26,인체이물류,1
잡곡,부산공장,2021-06-26,미생물,1
백미,부산공장,2021-06-26,인체이물류,1
프리미엄덮밥,부산공장,2021-06-26,포장오류,1
고급맛살,씨푸드_음성,2021-06-26,벌레류,1
수입콩두부,꿈꾸는콩,2021-06-27,기타,1
과일젤리,뚜또,2021-06-27,관능,1
백미,부산공장,2021-06-27,미생물,1
프리미엄덮밥,부산공장,2021-06-27,미생물,1
잡곡,부산공장,2021-06-27,미생물,1
일반국밥,부산공장,2021-06-27,포장불량,1
일반덮밥,부산공장,2021-06-27,식물성이물,1
B2B 후랑크,진천)육가공,2021-06-27,포장오류,1
땡류,진천)육가공,2021-06-27,기타이물류,1
중식프라잉,진천BC,2021-06-27,동물성이물,1
된장가정용,공주공장,2021-06-28,포장불량,1
냉면,남원공장,2021-06-28,공정이물류,1
고추장가정용,논산1공장,2021-06-28,변화,1
일반국밥,부산공장,2021-06-28,기타,1
BIG컵반(컵),부산공장,2021-06-28,기타이물류,1
국판삼해김,삼해상사(김포),2021-06-28,포장불량,1
과일젤리,쌍인,2021-06-28,기타이물류,1
과일젤리,쌍인,2021-06-28,포장불량,1
핫도그,우양냉동(장항),2021-06-28,합성수지류,1
베이커리,우양냉동(청양_냉동),2021-06-28,공정이물류,1
FV _ OEM,진천B2B생산,2021-06-28,벌레류,1
