product_cat2,mu,sigma,p90,p95,n,use_global
미식면,40.9,24.246443038103546,59.400000000000006,87.05,40,False
미식햄 후랑크,110.73889751552795,174.16509191903262,255.0,397.0,11,True
미초 희석식,110.73889751552795,174.16509191903262,255.0,397.0,4,True
미트편의식,26.61764705882353,19.790592000204786,46.70000000000002,54.849999999999994,204,False
밀키트 냉동,110.73889751552795,174.16509191903262,255.0,397.0,29,True
밀키트 냉동 완제품,110.73889751552795,174.16509191903262,255.0,397.0,2,True
밀키트 냉장,110.73889751552795,174.16509191903262,255.0,397.0,1,True
바삭칩,110.73889751552795,174.16509191903262,255.0,397.0,4,True
밥이랑,110.73889751552795,174.16509191903262,255.0,397.0,17,True
배터믹스,110.73889751552795,174.16509191903262,255.0,397.0,3,True
백미,98.05485059353254,62.08630469324726,181.80000000000018,221.0,2443,False
백설소금,110.73889751552795,174.16509191903262,255.0,397.0,25,True
밸런스플랜,110.73889751552795,174.16509191903262,255.0,397.0,2,True
베이커리,83.72058823529412,59.15653352316638,161.2000000000001,208.49999999999994,68,False
베이커리스낵,110.73889751552795,174.16509191903262,255.0,397.0,3,True
베이커리용밀가루,110.73889751552795,174.16509191903262,255.0,397.0,1,True
베이컨,26.203007518796994,43.683544052995735,33.8,81.0,133,False
볶음밥,79.05932203389831,66.07126255138147,162.79999999999998,204.04999999999995,118,False
분Base믹스,110.73889751552795,174.16509191903262,255.0,397.0,1,True
분절햄,110.73889751552795,174.16509191903262,255.0,397.0,11,True
